instance_pre,instance_post,conn_num,tot_syn_cnt,mean_syn_cnt,syn_cnt_sd
EPG(PB08)_R3,PEN_a(PB06a)_L6,1,1,1.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_L4,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_R5,3,39,13.0,3.0
EPG(PB08)_R3,PEN_a(PB06a)_R2,2,3,1.5,0.7071067811865476
EPG(PB08)_R3,PEN_a(PB06a)_R7,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_R8,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_L8,3,86,28.666666666666668,3.511884584284246
EPG(PB08)_R3,PEN_a(PB06a)_R9,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_L9,3,15,5.0,2.6457513110645907
EPG(PB08)_R3,PEN_a(PB06a)_L3,0,0,0.0,0.0
EPG(PB08)_R3,PEN_a(PB06a)_L5,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_L4,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R4,6,168,28.0,8.694826047713663
EPG(PB08)_R3,PEN_b(PB06b)_L6,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R7,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R2,1,6,6.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R5,2,9,4.5,4.949747468305833
EPG(PB08)_R3,PEN_b(PB06b)_R6,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R3,3,120,40.0,8.888194417315589
EPG(PB08)_R3,PEN_b(PB06b)_R8,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_R9,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_L9,1,2,2.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_L7,2,22,11.0,12.727922061357855
EPG(PB08)_R3,PEN_b(PB06b)_L8,3,79,26.333333333333332,5.131601439446884
EPG(PB08)_R3,PEN_b(PB06b)_L5,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_L2,0,0,0.0,0.0
EPG(PB08)_R3,PEN_b(PB06b)_L3,0,0,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_L3,1,1,1.0,0.0
EPG(PB08)_L6,EPG(PB08)_R4,9,166,18.444444444444443,11.259563836036358
EPG(PB08)_L6,EPG(PB08)_R3,9,131,14.555555555555555,10.465551957626401
EPG(PB08)_L6,EPG(PB08)_L1,0,0,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_R2,2,2,1.0,0.0
EPG(PB08)_L6,EPG(PB08)_L4,7,11,1.5714285714285714,0.7867957924694432
EPG(PB08)_L6,EPG(PB08)_R5,1,1,1.0,0.0
EPG(PB08)_L6,EPG(PB08)_L5,5,13,2.6,2.073644135332772
EPG(PB08)_L6,EPG(PB08)_L2,2,3,1.5,0.7071067811865476
EPG(PB08)_L6,EPG(PB08)_R6,0,0,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_R7,0,0,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_L7,8,23,2.875,1.7268882005337975
EPG(PB08)_L6,EPG(PB08)_L8,9,10,1.1111111111111112,0.3333333333333333
EPG(PB08)_L6,EPG(PB08)_R8,0,0,0.0,0.0
EPG(PB08)_L6,EPG(PB08)_R1,0,0,0.0,0.0
EPG(PB08)_L6,Delta7(PB15)_L6R3_L,12,27,2.25,1.2880570286640685
EPG(PB08)_L6,Delta7(PB15)_L5R4_L,11,36,3.272727272727273,2.5334130768948473
EPG(PB08)_L6,Delta7(PB15)_L4R5_R,13,36,2.769230769230769,1.535895295576609
EPG(PB08)_L6,Delta7(PB15)_L1L9R8_R,15,196,13.066666666666666,2.8652266593628872
EPG(PB08)_L6,Delta7(PB15)_L8R1R9_L,15,119,7.933333333333334,3.4323391995769272
EPG(PB08)_L6,Delta7(PB15)_L3R6_R,12,97,8.083333333333334,4.2094770423054895
EPG(PB08)_L6,Delta7(PB15)_L7R2_L,8,19,2.375,0.9161253813129043
EPG(PB08)_L6,Delta7(PB15)_L2R7_R,15,104,6.933333333333334,2.9632671801497046
EPG(PB08)_L6,PEG(PB07)_R1,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_L5,3,5,1.6666666666666667,0.5773502691896257
EPG(PB08)_L6,PEG(PB07)_L6,9,213,23.666666666666668,22.15851980616034
EPG(PB08)_L6,PEG(PB07)_R6,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R4,3,15,5.0,3.4641016151377544
EPG(PB08)_L6,PEG(PB07)_L4,3,10,3.3333333333333335,0.5773502691896257
EPG(PB08)_L6,PEG(PB07)_R2,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R3,1,1,1.0,0.0
EPG(PB08)_L6,PEG(PB07)_L3,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_R7,0,0,0.0,0.0
EPG(PB08)_L6,PEG(PB07)_L7,3,3,1.0,0.0
